Title,Bitter Times,,,,,
128,0,0,single,,,
129,0,0,single,,,
130,0,0,single,,,
131,0,0,single,,,
132,0,0,single,,,
133,0,0,single,,,
134,0,0,single,,,
135,0,0,single,,,
136,0,0,single,,,
137,0,0,single,,,
138,0,0,single,,,
139,0,0,single,,,
140,0,0,single,,,
141,0,0,single,,,
142,0,0,single,,,
143,0,0,single,,,
144,0,0,single,,,
145,0,0,single,,,
146,0,0,single,,,
147,0,0,single,,,
148,0,0,single,,,
149,0,0,single,,,
150,0,0,single,,,
151,0,0,single,,,
152,0,0,single,,,
153,0,0,single,,,
154,0,0,single,,,
155,0,0,single,,,
156,0,0,single,,,
157,0,0,single,,,
158,0,0,single,,,
159,0,0,single,,,
160,0,0,single,,,
161,0,0,single,,,
162,0,0,single,,,
163,0,0,single,,,
164,0,0,single,,,
165,0,0,single,,,
166,0,0,single,,,
167,0,0,single,,,
168,0,0,single,,,
169,0,0,single,,,
170,0,0,single,,,
171,0,0,single,,,
172,0,0,single,,,
173,0,0,single,,,
174,0,0,single,,,
175,0,0,single,,,
176,0,0,single,,,
177,0,0,single,,,
178,0,0,single,,,
179,0,0,single,,,
180,0,0,single,,,
181,0,0,single,,,
182,0,0,single,,,
183,0,0,single,,,
184,0,0,single,,,
185,0,0,single,,,
186,0,0,single,,,
187,0,0,single,,,
188,0,0,single,,,
189,0,0,single,,,
190,0,0,single,,,
191,0,0,single,,,
192,0,0,single,,,
193,0,0,single,,,
194,0,0,single,,,
195,0,0,single,,,
196,0,0,single,,,
197,0,0,single,,,
198,0,0,single,,,
199,0,0,single,,,
200,0,0,single,,,
201,0,0,single,,,
202,0,0,single,,,
203,0,0,single,,,
204,0,0,single,,,
205,0,0,single,,,
206,0,0,single,,,
207,0,0,single,,,
208,0,0,single,,,
209,0,0,single,,,
210,0,0,single,,,
211,0,0,single,,,
212,0,0,single,,,
213,0,0,single,,,
214,0,0,single,,,
215,0,0,single,,,
216,0,0,single,,,
217,0,0,single,,,
218,0,0,single,,,
219,0,0,single,,,
220,0,0,single,,,
221,0,0,single,,,
222,0,0,single,,,
223,0,0,single,,,
224,0,0,single,,,
225,0,0,single,,,
226,0,0,single,,,
227,0,0,single,,,
228,0,0,single,,,
229,0,0,single,,,
230,0,0,single,,,
231,0,0,single,,,
232,0,0,single,,,
233,0,0,single,,,
234,0,0,single,,,
235,0,0,single,,,
236,0,0,single,,,
237,0,0,single,,,
238,0,0,single,,,
239,0,0,single,,,
240,0,0,single,,,
241,0,0,single,,,
242,0,0,single,,,
243,0,0,single,,,
244,0,0,single,,,
245,0,0,single,,,
246,0,0,single,,,
247,0,0,single,,,
248,0,0,single,,,
249,0,0,single,,,
250,0,0,single,,,
251,0,0,single,,,
252,0,0,single,,,
253,0,0,single,,,
254,0,0,single,,,
255,0,0,single,,,
256,0,0,single,,,
257,0,0,single,,,
258,0,0,single,,,
259,0,0,single,,,
260,0,0,single,,,
261,0,0,single,,,
262,0,0,single,,,
263,0,0,single,,,
264,0,0,single,,,
265,0,0,single,,,
266,0,0,single,,,
267,0,0,single,,,
268,0,0,single,,,
269,0,0,single,,,
270,0,0,single,,,
271,0,0,single,,,
272,0,0,single,,,
273,0,0,single,,,
274,0,0,single,,,
275,0,0,single,,,
276,0,0,single,,,
277,0,0,single,,,
278,0,0,single,,,
279,0,0,single,,,
280,0,0,single,,,
281,0,0,single,,,
282,0,0,single,,,
283,0,0,single,,,
284,0,0,single,,,
285,0,0,single,,,
286,0,0,single,,,
287,0,0,single,,,
288,0,0,single,,,
289,0,0,single,,,
290,0,0,single,,,
291,0,0,single,,,
292,0,0,single,,,
293,0,0,single,,,
294,0,0,single,,,
295,0,0,single,,,
296,0,0,single,,,
297,0,0,single,,,
298,0,0,single,,,
299,0,0,single,,,
300,0,0,single,,,
301,0,0,single,,,
302,0,0,single,,,
